"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"156"	5	1	1	2	1	1	22	4	2	2	NA
"157"	7	1	1	2	1	2	63	4	2	2	NA
"158"	6	1	1	2	2	1	31	4	2	2	NA
"159"	4	1	1	2	1	2	26	4	2	2	NA
"160"	9	1	1	2	1	1	43	2	2	2	1
"161"	6	1	1	2	1	2	21	4	2	2	NA
"162"	7	1	1	2	1	1	32	4	2	2	NA
"163"	9	1	1	2	1	1	23	4	2	2	NA
"164"	7	1	1	2	1	2	56	4	2	2	1
"165"	7	1	1	2	2	1	27	4	2	2	NA
"166"	3	1	1	2	1	1	38	4	1	1	1
"167"	7	1	1	2	1	1	29	4	1	1	1
"168"	1	1	1	2	1	1	28	4	2	2	NA
"169"	9	1	1	2	2	1	21	4	2	2	NA
"170"	4	1	1	2	2	2	36	4	2	2	NA
"171"	6	1	1	2	2	2	28	4	2	2	NA
"172"	8	1	1	2	1	2	54	4	2	2	NA
"173"	1	1	1	2	2	2	45	4	2	2	NA
"174"	9	1	1	2	2	2	25	4	2	2	NA
"175"	6	1	1	2	2	1	38	4	2	2	NA
"176"	6	1	1	2	2	1	24	4	1	1	1
"177"	7	1	1	2	2	2	35	4	2	2	NA
"178"	7	1	1	2	2	1	30	4	2	2	NA
"179"	8	1	1	2	2	2	27	4	2	2	NA
"180"	7	1	1	2	2	1	25	4	2	2	NA
"181"	7	1	1	2	1	2	34	4	2	2	NA
"182"	7	1	1	2	1	2	32	4	2	2	NA
"183"	5	1	1	2	2	1	25	4	2	2	NA
"184"	9	1	1	2	2	1	28	4	2	2	NA
"185"	1	1	1	2	2	1	23	4	2	2	NA
"186"	5	1	1	2	1	2	27	4	2	2	NA
"187"	9	1	1	2	2	1	46	4	2	2	NA
"188"	9	1	1	2	1	2	37	4	2	2	NA
"189"	6	1	1	2	1	2	54	4	2	2	NA
"190"	5	1	1	2	1	2	43	4	2	2	NA
"191"	8	1	1	2	1	1	27	4	2	2	NA
"192"	9	1	1	2	2	2	28	4	2	2	NA
"193"	7	1	1	2	1	1	29	4	2	2	NA
"194"	7	1	1	2	1	2	37	4	2	2	NA
"195"	8	1	1	2	1	1	30	4	2	2	NA
"196"	7	1	1	2	1	2	34	4	2	2	NA
"197"	7	1	1	2	1	1	53	4	2	2	NA
"198"	5	1	1	2	2	1	22	4	2	2	NA
"199"	9	1	1	2	2	1	28	4	2	2	NA
"200"	3	1	1	2	1	1	60	4	2	2	NA
"201"	5	1	1	2	1	2	23	4	2	2	NA
"202"	9	1	1	2	2	2	26	4	2	2	NA
"203"	7	2	1	1	2	2	53	4	1	1	1
"204"	7	2	1	1	2	1	46	4	1	1	NA
"205"	6	2	1	1	1	2	40	4	1	1	NA
"206"	9	2	1	1	2	1	23	4	1	1	NA
"207"	7	2	1	1	1	2	32	4	2	2	1
"208"	9	2	1	1	2	1	34	4	1	1	NA
"209"	5	2	1	1	2	1	27	4	1	1	NA
"210"	7	2	1	1	2	2	24	4	1	1	NA
"211"	9	2	1	1	2	2	35	4	1	1	NA
"212"	7	2	1	1	2	2	60	4	2	2	1
"213"	5	2	1	1	2	1	48	4	2	2	1
"214"	2	2	1	1	1	2	20	4	1	1	NA
"215"	7	2	1	1	2	2	38	4	1	1	NA
"216"	7	2	1	1	1	2	44	4	1	1	NA
"217"	9	2	1	1	1	1	34	4	1	1	NA
"218"	7	2	1	1	2	1	31	4	1	1	1
"219"	9	2	1	1	1	1	27	4	1	1	1
"220"	6	2	1	1	2	1	22	2	1	1	1
"221"	9	2	1	1	2	1	32	4	1	1	NA
"222"	9	2	1	1	2	2	36	4	1	1	NA
"223"	9	2	1	1	2	1	21	4	1	1	NA
"224"	9	2	1	1	2	2	33	4	1	1	NA
"225"	7	2	1	1	2	1	37	4	1	1	NA
"226"	7	2	1	1	2	1	37	4	1	1	NA
"227"	9	2	1	1	1	1	47	4	1	1	NA
"228"	3	2	1	1	2	1	19	4	1	1	1
"229"	5	2	1	1	2	1	58	4	1	1	NA
"230"	8	2	1	1	2	1	34	4	1	1	NA
"231"	7	2	1	1	2	1	40	4	1	1	NA
"232"	7	2	1	1	2	1	22	4	1	1	NA
"233"	7	2	1	1	2	1	27	4	1	1	NA
"234"	9	2	1	1	2	1	28	4	1	1	NA
"235"	7	2	1	1	1	2	29	4	1	1	NA
"236"	6	2	1	1	1	2	39	4	1	1	NA
"237"	9	2	1	1	2	1	33	4	1	1	NA
"238"	8	2	1	1	2	1	34	4	1	1	NA
"239"	4	2	1	1	2	2	31	4	1	1	1
"240"	9	2	1	1	2	2	27	4	1	1	NA
"241"	7	2	1	1	2	1	28	4	1	1	NA
"242"	9	2	1	1	2	1	26	4	2	2	1
"243"	7	2	1	1	1	1	31	4	1	1	1
"244"	4	2	1	1	1	2	45	4	1	1	NA
"245"	7	2	1	1	2	2	41	4	1	1	NA
"246"	7	2	1	1	2	2	24	4	1	1	NA
"247"	8	2	1	1	2	1	29	4	1	1	NA
"248"	9	2	1	1	1	1	32	4	1	1	NA
"249"	9	2	1	1	2	1	27	4	1	1	NA
"250"	9	2	1	1	2	2	55	4	1	1	NA
"251"	9	2	1	1	1	1	24	4	1	1	NA
"252"	7	2	1	1	2	1	22	4	1	1	NA
"253"	9	2	1	1	1	1	57	4	1	1	NA
"254"	7	2	1	1	2	2	41	4	2	2	1
"255"	9	2	1	1	2	2	20	4	1	1	NA
"256"	6	2	1	1	1	1	26	4	1	1	NA
"257"	8	2	1	1	2	1	37	4	1	1	NA
"258"	3	2	1	1	1	2	33	4	2	2	1
"259"	9	2	1	1	1	1	29	4	1	1	NA
"260"	4	2	1	1	1	2	32	4	1	1	NA
"261"	9	2	1	1	1	1	23	4	1	1	NA
"262"	7	2	1	1	1	2	28	4	1	1	NA
"263"	9	2	1	1	1	1	66	4	1	1	NA
"264"	4	2	1	1	1	1	24	4	2	2	1
"265"	9	2	1	1	2	1	23	4	1	1	NA
"266"	9	2	1	1	2	1	23	4	1	1	NA
"267"	7	2	1	1	2	1	24	4	2	2	1
